Lumen,CCT
245.894,4843
246.265,4914
238.82,5236
239.74,5714
236.95,5838
187.621,6441
232.858,6373
193.811,7380
218.603,7916
227.501,7753
228.075,7031
199.436,8257
195.587,8699
192.634,9835
204.741,9697
183.707,12765
184.438,12063
192.733,11012
